,User,Level_of_Study,Year_of_Course,Registration_Status,Course_Title,Course_Code,Teaching_Sessions,Attended,Explained_Absences,Non_Attendance,Percentage_Attendance,Percentage_Attendance_Unexcused,Last_Attendence,Assessments,Submitted,Explained_Non_Submission,Non_Submission,Within_Late_Period_Flag,Percentage_Submitted,Last_Submitted,Academic_Advising_Sessions,Attended_AA,Explained_Non_Attendances_AA,Non_Attendances_AA,Attendance_Not_Recorded_AA,Percentage_Attendance_AA,Last_Attended_AA
0,,,,,,,,,,,,,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
1,43437412.0,PGT,1.0,REGISTERED,Intel and Adap Sys,G5Q32T,18.0,17.0,0.0,1.0,0.944444444444444,0.944444444444444,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2,43402938.0,UG,2.0,REGISTERED,Elecl Eng and Elecc Eng,H5001U,14.0,14.0,0.0,0.0,1.0,1.0,2017-10-16T15:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
3,43402808.0,UG,2.0,REGISTERED,Mechanical Engineering,H3006U,15.0,15.0,0.0,0.0,1.0,1.0,2017-10-16T09:59:59.999000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
4,43402504.0,UG,1.0,REGISTERED,Computer Science,G5001U,31.0,23.0,0.0,8.0,0.741935483870968,0.741935483870968,2017-10-16T15:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
5,42801536.0,UG,4.0,REGISTERED,Mechanical Engineering,H3006U,5.0,4.0,0.0,1.0,0.8,0.8,2017-10-12T12:59:59.999000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
6,42808216.0,UG,3.0,REGISTERED,Mechanical Engineering,H3002U,21.0,18.0,0.0,3.0,0.857142857142857,0.857142857142857,2017-10-11T11:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
7,43202338.0,UG,1.0,REGISTERED,Mechanical Engineering,H3002U,40.0,4.0,0.0,36.0,0.1,0.1,2017-10-16T12:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
8,43202372.0,UG,0.0,TWD-OTHER,Eng (FDN),H9001U,29.0,21.0,0.0,8.0,0.724137931034483,0.724137931034483,2017-10-16T14:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
9,43202180.0,UG,1.0,REGISTERED,Comp Sci (IP),G41F0U,29.0,27.0,0.0,2.0,0.931034482758621,0.931034482758621,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
10,43202596.0,UG,2.0,REGISTERED,Product Design (IP),H7006U,11.0,11.0,0.0,0.0,1.0,1.0,2017-10-12T11:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
11,43009388.0,UG,3.0,REGISTERED,Mechanical Engineering,H3002U,16.0,16.0,0.0,0.0,1.0,1.0,2017-10-16T11:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
12,43002102.0,UG,3.0,REGISTERED,Elecl Eng and Elecc Eng,H5001U,22.0,22.0,0.0,0.0,1.0,1.0,2017-10-16T12:59:59.999000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
